RouteUID,RouteID,HasSubRoutes,Operators,AuthorityID,ProviderID,SubRoutes,BusRouteType,RouteName,DepartureStopNameZh,DepartureStopNameEn,DestinationStopNameZh,DestinationStopNameEn,RouteMapImageUrl,City,CityCode,UpdateTime,VersionID
ILA0011,0011,True,"[{'OperatorID': '45', 'OperatorName': {'Zh_tw': '國光客運', 'En': 'Kuo-Kuang Bus Co., Ltd.'}, 'OperatorCode': 'KuoKuangBus', 'OperatorNo': '1101'}]",021,010,"[{'SubRouteUID': 'ILA001101', 'SubRouteID': '001101', 'OperatorIDs': ['45'], 'SubRouteName': {'Zh_tw': '紅1', 'En': '紅1'}, 'Headsign': '外澳→宜蘭轉運站', 'HeadsignEn': 'Waiao→Yilan Bus Station', 'Direction': 0}, {'SubRouteUID': 'ILA001102', 'SubRouteID': '001102', 'OperatorIDs': ['45'], 'SubRouteName': {'Zh_tw': '紅1', 'En': '紅1'}, 'Headsign': '宜蘭轉運站→外澳', 'HeadsignEn': 'Yilan Bus Station→Waiao', 'Direction': 1}]",11,"{'Zh_tw': '紅1', 'En': '紅1'}",外澳,Wai-ao,宜蘭轉運站,Yilan Bus Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0011.jpg,YilanCounty,ILA,2023-07-13T07:38:39+08:00,1790
ILA0012,0012,True,"[{'OperatorID': '45', 'OperatorName': {'Zh_tw': '國光客運', 'En': 'Kuo-Kuang Bus Co., Ltd.'}, 'OperatorCode': 'KuoKuangBus', 'OperatorNo': '1101'}]",021,010,"[{'SubRouteUID': 'ILA001201', 'SubRouteID': '001201', 'OperatorIDs': ['45'], 'SubRouteName': {'Zh_tw': '紅2', 'En': '紅2'}, 'Headsign': '宜蘭轉運站→南方澳', 'HeadsignEn': 'Yilan Bus Station→Nanfang—ao', 'Direction': 0}, {'SubRouteUID': 'ILA001202', 'SubRouteID': '001202', 'OperatorIDs': ['45'], 'SubRouteName': {'Zh_tw': '紅2', 'En': '紅2'}, 'Headsign': '南方澳→宜蘭轉運站', 'HeadsignEn': 'Nanfang—ao→Yilan Bus Station', 'Direction': 1}]",11,"{'Zh_tw': '紅2', 'En': '紅2'}",宜蘭轉運站,Yilan Bus Station,南方澳,Nanfang&#39;ao,http://web.taiwanbus.tw/TMSData/Schematic/file/0012.jpg,YilanCounty,ILA,2023-07-13T07:38:39+08:00,1790
ILA0013,0013,True,"[{'OperatorID': '45', 'OperatorName': {'Zh_tw': '國光客運', 'En': 'Kuo-Kuang Bus Co., Ltd.'}, 'OperatorCode': 'KuoKuangBus', 'OperatorNo': '1101'}]",021,010,"[{'SubRouteUID': 'ILA001301', 'SubRouteID': '001301', 'OperatorIDs': ['45'], 'SubRouteName': {'Zh_tw': '綠12', 'En': '綠12'}, 'Headsign': '宜蘭轉運站→松羅', 'HeadsignEn': 'Yilan Transfer Station→Songluo', 'Direction': 0}, {'SubRouteUID': 'ILA001302', 'SubRouteID': '001302', 'OperatorIDs': ['45'], 'SubRouteName': {'Zh_tw': '綠12', 'En': '綠12'}, 'Headsign': '松羅→宜蘭轉運站', 'HeadsignEn': 'Songluo→Yilan Transfer Station', 'Direction': 1}]",11,"{'Zh_tw': '綠12', 'En': '綠12'}",宜蘭轉運站,Yilan Bus Station,松羅,Songluo,http://web.taiwanbus.tw/TMSData/Schematic/file/0013.jpg,YilanCounty,ILA,2023-07-13T07:38:39+08:00,1790
ILA0015,0015,True,"[{'OperatorID': '45', 'OperatorName': {'Zh_tw': '國光客運', 'En': 'Kuo-Kuang Bus Co., Ltd.'}, 'OperatorCode': 'KuoKuangBus', 'OperatorNo': '1101'}]",021,010,"[{'SubRouteUID': 'ILA001501', 'SubRouteID': '001501', 'OperatorIDs': ['45'], 'SubRouteName': {'Zh_tw': '綠15', 'En': '綠15'}, 'Headsign': '宜蘭轉運站→大礁溪橋', 'HeadsignEn': 'Yilan Jiaoxi RTS→Dajiaoxi bridge', 'Direction': 0}, {'SubRouteUID': 'ILA001502', 'SubRouteID': '001502', 'OperatorIDs': ['45'], 'SubRouteName': {'Zh_tw': '綠15', 'En': '綠15'}, 'Headsign': '大礁溪橋→宜蘭轉運站', 'HeadsignEn': 'Dajiaoxi bridge→Yilan Jiaoxi RTS', 'Direction': 1}]",11,"{'Zh_tw': '綠15', 'En': '綠15'}",宜蘭轉運站,Yilan Transfer Station,大礁溪橋,Dajiaoxi bridge,http://web.taiwanbus.tw/TMSData/Schematic/file/0015.jpg,YilanCounty,ILA,2023-07-13T07:38:39+08:00,1790
ILA0017,0017,True,"[{'OperatorID': '45', 'OperatorName': {'Zh_tw': '國光客運', 'En': 'Kuo-Kuang Bus Co., Ltd.'}, 'OperatorCode': 'KuoKuangBus', 'OperatorNo': '1101'}]",021,010,"[{'SubRouteUID': 'ILA001701', 'SubRouteID': '001701', 'OperatorIDs': ['45'], 'SubRouteName': {'Zh_tw': '綠17', 'En': '綠17'}, 'Headsign': '羅東轉運站→清水地熱', 'HeadsignEn': 'Luodong Transfer Station→Qingshui Geothermal', 'Direction': 0}, {'SubRouteUID': 'ILA001702', 'SubRouteID': '001702', 'OperatorIDs': ['45'], 'SubRouteName': {'Zh_tw': '綠17', 'En': '綠17'}, 'Headsign': '清水地熱→羅東轉運站', 'HeadsignEn': 'Qingshui Geothermal → Luodong Transfer Station', 'Direction': 1}]",11,"{'Zh_tw': '綠17', 'En': '綠17'}",羅東轉運站,Luodong Bus Station,清水地熱,Qingshui Geothermal,http://web.taiwanbus.tw/TMSData/Schematic/file/0017.jpg,YilanCounty,ILA,2023-07-13T07:38:39+08:00,1790
ILA0018,0018,True,"[{'OperatorID': '45', 'OperatorName': {'Zh_tw': '國光客運', 'En': 'Kuo-Kuang Bus Co., Ltd.'}, 'OperatorCode': 'KuoKuangBus', 'OperatorNo': '1101'}]",021,010,"[{'SubRouteUID': 'ILA001801', 'SubRouteID': '001801', 'OperatorIDs': ['45'], 'SubRouteName': {'Zh_tw': '綠18', 'En': '綠18'}, 'Headsign': '宜蘭轉運站→頭城火車站', 'HeadsignEn': 'Yilan Transfer Station→Toucheng Station', 'Direction': 0}, {'SubRouteUID': 'ILA001802', 'SubRouteID': '001802', 'OperatorIDs': ['45'], 'SubRouteName': {'Zh_tw': '綠18', 'En': '綠18'}, 'Headsign': '頭城火車站→宜蘭轉運站', 'HeadsignEn': 'Toucheng Station→Yilan Transfer Station', 'Direction': 1}]",11,"{'Zh_tw': '綠18', 'En': '綠18'}",宜蘭轉運站,Yilan Bus Station,頭城火車站(舊頭城鎮公所),Toucheng Train Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0018.jpg,YilanCounty,ILA,2023-07-13T07:38:39+08:00,1790
ILA0025,0025,True,"[{'OperatorID': '45', 'OperatorName': {'Zh_tw': '國光客運', 'En': 'Kuo-Kuang Bus Co., Ltd.'}, 'OperatorCode': 'KuoKuangBus', 'OperatorNo': '1101'}]",021,010,"[{'SubRouteUID': 'ILA002501', 'SubRouteID': '002501', 'OperatorIDs': ['45'], 'SubRouteName': {'Zh_tw': '綠25', 'En': '綠25'}, 'Headsign': '羅東轉運站→梅花湖', 'HeadsignEn': 'Luodong Bus Station→Meihua Lake', 'Direction': 0}, {'SubRouteUID': 'ILA002502', 'SubRouteID': '002502', 'OperatorIDs': ['45'], 'SubRouteName': {'Zh_tw': '綠25', 'En': '綠25'}, 'Headsign': '梅花湖→羅東轉運站', 'HeadsignEn': 'Meihua Lake→Luodong Bus Station', 'Direction': 1}]",11,"{'Zh_tw': '綠25', 'En': '綠25'}",羅東轉運站,Luodong Bus Station,梅花湖,Meihua Lake,http://web.taiwanbus.tw/TMSData/Schematic/file/0025.jpg,YilanCounty,ILA,2023-07-13T07:38:39+08:00,1790
ILA0028,0028,False,"[{'OperatorID': '45', 'OperatorName': {'Zh_tw': '國光客運', 'En': 'Kuo-Kuang Bus Co., Ltd.'}, 'OperatorCode': 'KuoKuangBus', 'OperatorNo': '1101'}]",021,010,"[{'SubRouteUID': 'ILA002801', 'SubRouteID': '002801', 'OperatorIDs': ['45'], 'SubRouteName': {'Zh_tw': '綠28', 'En': '綠28'}, 'Headsign': '蘇澳新站→豆腐岬風景區(南方澳環線)', 'HeadsignEn': 'TRA Su—aoxin Station→Tofu Cape (Nanfang—ao Loop Line)', 'Direction': 0}]",11,"{'Zh_tw': '綠28', 'En': '綠28'}",蘇澳新站,Su&#39;aoxin Train Station,蘇澳新站,Su&#39;aoxin Train Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0028.jpg,YilanCounty,ILA,2023-07-13T07:38:39+08:00,1790
ILA0111,0111,True,"[{'OperatorID': '35', 'OperatorName': {'Zh_tw': '葛瑪蘭客運', 'En': 'Kamalan Bus Co., Ltd.'}, 'OperatorCode': 'KamalanBus', 'OperatorNo': '1308'}]",021,010,"[{'SubRouteUID': 'ILA0111A1', 'SubRouteID': '0111A1', 'OperatorIDs': ['35'], 'SubRouteName': {'Zh_tw': '綠11AA', 'En': '綠11AA'}, 'Headsign': '礁溪火車站→佛光大學雲起樓[台灣好行礁溪線]經五峰旗風景區往佛光大學', 'HeadsignEn': 'Jiaoxi Train Station→Fo Guang University Yunqi Lou[The Taiwan Tourist Shuttle service—Jiaoxi Route]', 'Direction': 0}, {'SubRouteUID': 'ILA0111A2', 'SubRouteID': '0111A2', 'OperatorIDs': ['35'], 'SubRouteName': {'Zh_tw': '綠11AA', 'En': '綠11AA'}, 'Headsign': '佛光大學雲起樓→礁溪火車站[台灣好行礁溪線]經五峰旗風景區往佛光大學', 'HeadsignEn': 'Fo Guang University Yunqi Lou→ Jiaoxi Train Station[The Taiwan Tourist Shuttle service—Jiaoxi Route]', 'Direction': 1}, {'SubRouteUID': 'ILA0111B1', 'SubRouteID': '0111B1', 'OperatorIDs': ['35'], 'SubRouteName': {'Zh_tw': '綠11BB', 'En': '綠11BB'}, 'Headsign': '礁溪火車站→淡江大學蘭陽站', 'HeadsignEn': 'Jiaoxi Train Station→Tamkang University Lan—Yang Station', 'Direction': 0}, {'SubRouteUID': 'ILA0111B2', 'SubRouteID': '0111B2', 'OperatorIDs': ['35'], 'SubRouteName': {'Zh_tw': '綠11BB', 'En': '綠11BB'}, 'Headsign': '淡江大學蘭陽站→礁溪火車站', 'HeadsignEn': 'Lan—Yang Station→Jiaoxi Train Station→Tamkang University', 'Direction': 1}]",11,"{'Zh_tw': '綠11B', 'En': '綠11B'}",礁溪火車站,Jiaoxi Train Station,淡江大學蘭陽站,Tamkang University  Lanyang Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0111.jpg,YilanCounty,ILA,2023-07-13T07:38:39+08:00,1790
ILA0112,0112,True,"[{'OperatorID': '35', 'OperatorName': {'Zh_tw': '葛瑪蘭客運', 'En': 'Kamalan Bus Co., Ltd.'}, 'OperatorCode': 'KamalanBus', 'OperatorNo': '1308'}, {'OperatorID': '39', 'OperatorName': {'Zh_tw': '首都客運', 'En': 'Capital Bus Co., Ltd.'}, 'OperatorCode': 'CapitalBus', 'OperatorNo': '0913'}]",021,010,"[{'SubRouteUID': 'ILA011201', 'SubRouteID': '011201', 'OperatorIDs': ['35', '39'], 'SubRouteName': {'Zh_tw': '112', 'En': '112'}, 'Headsign': '礁溪轉運站→礁溪火車站(單循環)', 'HeadsignEn': 'Jiaoxi Train Station→Jiaoxi Train Station', 'Direction': 0}, {'SubRouteUID': 'ILA0112A1', 'SubRouteID': '0112A1', 'OperatorIDs': ['35'], 'SubRouteName': {'Zh_tw': '112A', 'En': '112A'}, 'Headsign': '礁溪轉運站→礁溪火車站(單循環)[經五峰旗風景區]', 'HeadsignEn': 'Jiaoxi Train Station→Jiaoxi Train Station(Via Wufengqi Designated Scenic Area)', 'Direction': 0}]",11,"{'Zh_tw': '112', 'En': '112'}",礁溪轉運站,Jiaoxi Transfer Station,礁溪轉運站,Jiaoxi Transfer Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0112.jpg,YilanCounty,ILA,2023-07-13T07:38:39+08:00,1790
ILA0114,0114,True,"[{'OperatorID': '35', 'OperatorName': {'Zh_tw': '葛瑪蘭客運', 'En': 'Kamalan Bus Co., Ltd.'}, 'OperatorCode': 'KamalanBus', 'OperatorNo': '1308'}]",021,010,"[{'SubRouteUID': 'ILA011401', 'SubRouteID': '011401', 'OperatorIDs': ['35'], 'SubRouteName': {'Zh_tw': '113', 'En': '113'}, 'Headsign': '礁溪轉運站→塭底路', 'HeadsignEn': 'Jiaoxi Transfer Station→Wendi Rd.', 'Direction': 0}, {'SubRouteUID': 'ILA011402', 'SubRouteID': '011402', 'OperatorIDs': ['35'], 'SubRouteName': {'Zh_tw': '113', 'En': '113'}, 'Headsign': '塭底路→礁溪轉運站', 'HeadsignEn': 'Wendi Rd.→Jiaoxi Transfer Station', 'Direction': 1}]",11,"{'Zh_tw': '113', 'En': '113'}",礁溪轉運站,Jiaoxi Transfer Station,塭底路,Wendi Rd.,http://web.taiwanbus.tw/TMSData/Schematic/file/0114.jpg,YilanCounty,ILA,2023-07-13T07:38:39+08:00,1790
